"CASEID" "ASEID" "MCASEID" "dup"
"507" 70302 2 703 3
"508" 70303 3 703 3
"509" 70401 1 704 2
"510" 70402 2 704 2
"511" 70601 1 706 5
"512" 70602 2 706 5
"513" 70603 3 706 5
"514" 70604 4 706 5
"515" 70605 5 706 5
"516" 70801 1 708 1
"517" 71201 1 712 2
"518" 71202 2 712 2
"519" 71301 1 713 2
"520" 71302 2 713 2
"521" 72001 1 720 2
"522" 72002 2 720 2
"523" 72101 1 721 2
"524" 72102 2 721 2
"525" 72401 1 724 2
"526" 72402 2 724 2
"527" 72601 1 726 3
"528" 72602 2 726 3
"529" 72603 3 726 3
"530" 73301 1 733 4
"531" 73302 2 733 4
"532" 73303 3 733 4
"533" 73304 4 733 4
"534" 73601 1 736 2
"535" 73602 2 736 2
"536" 73901 1 739 3
"537" 73902 2 739 3
"538" 73903 3 739 3
"539" 74001 1 740 1
"540" 74301 1 743 2
"541" 74302 2 743 2
"542" 74401 1 744 2
"543" 74402 2 744 2
"544" 74601 1 746 2
"545" 74602 2 746 2
"546" 75202 2 752 1
"547" 75501 1 755 3
"548" 75502 2 755 3
"549" 75503 3 755 3
"550" 75601 1 756 5
"551" 75602 2 756 5
"552" 75603 3 756 5
"553" 75604 4 756 5
"554" 75605 5 756 5
"555" 75701 1 757 2
"556" 75702 2 757 2
"557" 75801 1 758 1
"558" 75901 1 759 4
"559" 75902 2 759 4
"560" 75903 3 759 4
"561" 75904 4 759 4
"562" 76101 1 761 3
"563" 76102 2 761 3
"564" 76103 3 761 3
"565" 76401 1 764 5
"566" 76402 2 764 5
"567" 76403 3 764 5
"568" 76404 4 764 5
"569" 76405 5 764 5
"570" 76801 1 768 4
"571" 76802 2 768 4
"572" 76803 3 768 4
"573" 76804 4 768 4
"574" 77001 1 770 2
"575" 77002 2 770 2
"576" 77501 1 775 3
"577" 77502 2 775 3
"578" 77503 3 775 3
"579" 77901 1 779 1
"580" 78301 1 783 1
"581" 78901 1 789 1
"582" 79201 1 792 4
"583" 79202 2 792 4
"584" 79203 3 792 4
"585" 79204 4 792 4
"586" 80101 1 801 3
"587" 80102 2 801 3
"588" 80103 3 801 3
"589" 80301 1 803 6
"590" 80302 2 803 6
"591" 80303 3 803 6
"592" 80304 4 803 6
"593" 80305 5 803 6
"594" 80306 6 803 6
"595" 80401 1 804 2
"596" 80402 2 804 2
"597" 80501 1 805 1
"598" 81001 1 810 1
"599" 81101 1 811 1
"600" 81201 1 812 3
"601" 81202 2 812 3
"602" 81204 4 812 3
"603" 81401 1 814 2
"604" 81402 2 814 2
"605" 82001 1 820 1
"606" 82801 1 828 2
"607" 82802 2 828 2
"608" 82901 1 829 2
"609" 82902 2 829 2
"610" 83001 1 830 1
"611" 83101 1 831 3
"612" 83102 2 831 3
"613" 83103 3 831 3
"614" 83401 1 834 3
"615" 83402 2 834 3
"616" 83403 3 834 3
"617" 83502 2 835 1
"618" 83601 1 836 3
"619" 83602 2 836 3
"620" 83603 3 836 3
"621" 83901 1 839 1
"622" 84001 1 840 2
"623" 84002 2 840 2
"624" 84101 1 841 2
"625" 84102 2 841 2
"626" 84201 1 842 1
"627" 84301 1 843 1
"628" 84503 3 845 1
"629" 84801 1 848 1
"630" 85201 1 852 1
"631" 85401 1 854 4
"632" 85402 2 854 4
"633" 85403 3 854 4
"634" 85404 4 854 4
"635" 85501 1 855 2
"636" 85502 2 855 2
"637" 85601 1 856 1
"638" 86201 1 862 2
"639" 86202 2 862 2
"640" 86601 1 866 2
"641" 86603 3 866 2
"642" 87501 1 875 1
"643" 87602 2 876 1
"644" 87901 1 879 2
"645" 87902 2 879 2
"646" 88001 1 880 3
"647" 88002 2 880 3
"648" 88003 3 880 3
"649" 88601 1 886 2
"650" 88602 2 886 2
"651" 88701 1 887 2
"652" 88702 2 887 2
"653" 88901 1 889 2
"654" 88902 2 889 2
"655" 89301 1 893 3
"656" 89302 2 893 3
"657" 89303 3 893 3
"658" 89501 1 895 1
"659" 89601 1 896 2
"660" 89602 2 896 2
"661" 89801 1 898 3
"662" 89802 2 898 3
"663" 89803 3 898 3
"664" 90001 1 900 4
"665" 90002 2 900 4
"666" 90003 3 900 4
"667" 90004 4 900 4
"668" 90601 1 906 3
"669" 90602 2 906 3
"670" 90603 3 906 3
"671" 91201 1 912 2
"672" 91202 2 912 2
"673" 91401 1 914 2
"674" 91402 2 914 2
"675" 91801 1 918 1
"676" 92301 1 923 3
"677" 92302 2 923 3
"678" 92303 3 923 3
"679" 92801 1 928 2
"680" 92802 2 928 2
"681" 93201 1 932 3
"682" 93202 2 932 3
"683" 93203 3 932 3
"684" 93501 1 935 3
"685" 93502 2 935 3
"686" 93503 3 935 3
"687" 93601 1 936 3
"688" 93602 2 936 3
"689" 93603 3 936 3
"690" 93901 1 939 2
"691" 93902 2 939 2
"692" 94001 1 940 2
"693" 94002 2 940 2
"694" 94201 1 942 2
"695" 94202 2 942 2
"696" 94901 1 949 2
"697" 94902 2 949 2
"698" 95001 1 950 1
"699" 95201 1 952 1
"700" 95301 1 953 1
"701" 95401 1 954 2
"702" 95402 2 954 2
"703" 96201 1 962 3
"704" 96202 2 962 3
"705" 96203 3 962 3
"706" 96601 1 966 1
"707" 96701 1 967 2
"708" 96702 2 967 2
"709" 97101 1 971 2
"710" 97102 2 971 2
"711" 97401 1 974 2
"712" 97402 2 974 2
"713" 97801 1 978 1
"714" 97901 1 979 2
"715" 97902 2 979 2
"716" 98101 1 981 2
"717" 98102 2 981 2
"718" 98801 1 988 1
"719" 99201 1 992 3
"720" 99202 2 992 3
"721" 99203 3 992 3
"722" 99502 2 995 1
"723" 99801 1 998 3
"724" 99802 2 998 3
"725" 99803 3 998 3
"726" 99901 1 999 2
"727" 99902 2 999 2
"728" 100501 1 1005 4
"729" 100503 3 1005 4
"730" 100504 4 1005 4
"731" 100505 5 1005 4
"732" 100901 1 1009 1
"733" 101501 1 1015 4
"734" 101502 2 1015 4
"735" 101503 3 1015 4
"736" 101504 4 1015 4
"737" 101701 1 1017 2
"738" 101702 2 1017 2
"739" 101802 2 1018 1
"740" 101901 1 1019 2
"741" 101902 2 1019 2
"742" 102401 1 1024 1
"743" 102502 2 1025 4
"744" 102503 3 1025 4
"745" 102504 4 1025 4
"746" 102505 5 1025 4
"747" 103001 1 1030 4
"748" 103002 2 1030 4
"749" 103003 3 1030 4
"750" 103004 4 1030 4
"751" 103301 1 1033 2
"752" 103302 2 1033 2
"753" 103402 2 1034 2
"754" 103403 3 1034 2
"755" 103501 1 1035 1
"756" 103601 1 1036 1
"757" 103801 1 1038 2
"758" 103802 2 1038 2
"759" 103901 1 1039 1
"760" 104001 1 1040 1
"761" 104801 1 1048 2
"762" 104802 2 1048 2
"763" 104901 1 1049 3
"764" 104902 2 1049 3
"765" 104903 3 1049 3
"766" 105001 1 1050 1
"767" 105601 1 1056 3
"768" 105602 2 1056 3
"769" 105603 3 1056 3
"770" 105702 2 1057 3
"771" 105703 3 1057 3
"772" 105704 4 1057 3
"773" 106301 1 1063 2
"774" 106302 2 1063 2
"775" 106501 1 1065 3
"776" 106502 2 1065 3
"777" 106503 3 1065 3
"778" 106901 1 1069 2
"779" 106902 2 1069 2
"780" 107001 1 1070 3
"781" 107002 2 1070 3
"782" 107003 3 1070 3
"783" 107101 1 1071 3
"784" 107102 2 1071 3
"785" 107103 3 1071 3
"786" 107601 1 1076 1
"787" 107701 1 1077 3
"788" 107702 2 1077 3
"789" 107703 3 1077 3
"790" 107901 1 1079 1
"791" 108001 1 1080 3
"792" 108002 2 1080 3
"793" 108003 3 1080 3
"794" 108201 1 1082 2
"795" 108202 2 1082 2
"796" 108301 1 1083 1
"797" 108701 1 1087 3
"798" 108702 2 1087 3
"799" 108703 3 1087 3
"800" 108801 1 1088 1
"801" 109001 1 1090 2
"802" 109002 2 1090 2
"803" 109301 1 1093 3
"804" 109302 2 1093 3
"805" 109303 3 1093 3
"806" 110301 1 1103 1
"807" 110401 1 1104 1
"808" 110801 1 1108 1
"809" 111101 1 1111 2
"810" 111102 2 1111 2
"811" 111201 1 1112 2
"812" 111202 2 1112 2
"813" 111601 1 1116 2
"814" 111602 2 1116 2
"815" 111702 2 1117 2
"816" 111703 3 1117 2
"817" 111801 1 1118 1
"818" 112301 1 1123 5
"819" 112302 2 1123 5
"820" 112303 3 1123 5
"821" 112304 4 1123 5
"822" 112305 5 1123 5
"823" 113001 1 1130 2
"824" 113002 2 1130 2
"825" 113101 1 1131 1
"826" 113201 1 1132 2
"827" 113202 2 1132 2
"828" 114101 1 1141 2
"829" 114102 2 1141 2
"830" 114701 1 1147 2
"831" 114702 2 1147 2
"832" 115202 2 1152 2
"833" 115203 3 1152 2
"834" 115701 1 1157 2
"835" 115702 2 1157 2
"836" 115801 1 1158 2
"837" 115802 2 1158 2
"838" 115901 1 1159 1
"839" 116001 1 1160 5
"840" 116002 2 1160 5
"841" 116004 4 1160 5
"842" 116005 5 1160 5
"843" 116006 6 1160 5
"844" 116101 1 1161 2
"845" 116102 2 1161 2
"846" 116301 1 1163 2
"847" 116302 2 1163 2
"848" 116401 1 1164 2
"849" 116402 2 1164 2
"850" 116501 1 1165 3
"851" 116502 2 1165 3
"852" 116503 3 1165 3
"853" 116601 1 1166 2
"854" 116602 2 1166 2
"855" 116801 1 1168 1
"856" 117004 4 1170 1
"857" 117201 1 1172 3
"858" 117202 2 1172 3
"859" 117203 3 1172 3
"860" 117701 1 1177 2
"861" 117702 2 1177 2
"862" 117901 1 1179 2
"863" 117902 2 1179 2
"864" 118101 1 1181 2
"865" 118102 2 1181 2
"866" 118401 1 1184 2
"867" 118402 2 1184 2
"868" 118701 1 1187 3
"869" 118702 2 1187 3
"870" 118703 3 1187 3
"871" 118901 1 1189 2
"872" 118902 2 1189 2
"873" 119101 1 1191 1
"874" 119901 1 1199 2
"875" 119902 2 1199 2
"876" 120001 1 1200 1
"877" 120201 1 1202 2
"878" 120202 2 1202 2
"879" 120301 1 1203 1
"880" 120701 1 1207 2
"881" 120702 2 1207 2
"882" 120901 1 1209 3
"883" 120902 2 1209 3
"884" 120903 3 1209 3
"885" 121001 1 1210 6
"886" 121002 2 1210 6
"887" 121003 3 1210 6
"888" 121004 4 1210 6
"889" 121005 5 1210 6
"890" 121006 6 1210 6
"891" 121202 2 1212 1
"892" 121301 1 1213 2
"893" 121302 2 1213 2
"894" 121401 1 1214 2
"895" 121402 2 1214 2
"896" 121601 1 1216 3
"897" 121603 3 1216 3
"898" 121604 4 1216 3
"899" 122001 1 1220 3
"900" 122002 2 1220 3
"901" 122003 3 1220 3
"902" 122101 1 1221 3
"903" 122102 2 1221 3
"904" 122103 3 1221 3
"905" 122301 1 1223 2
"906" 122302 2 1223 2
"907" 122401 1 1224 3
"908" 122402 2 1224 3
"909" 122403 3 1224 3
"910" 122502 2 1225 1
"911" 122602 2 1226 1
"912" 122701 1 1227 3
"913" 122702 2 1227 3
"914" 122704 4 1227 3
"915" 122802 2 1228 2
"916" 122803 3 1228 2
"917" 123001 1 1230 2
"918" 123002 2 1230 2
"919" 123101 1 1231 2
"920" 123102 2 1231 2
"921" 123301 1 1233 2
"922" 123302 2 1233 2
"923" 123401 1 1234 2
"924" 123402 2 1234 2
"925" 123602 2 1236 2
"926" 123603 3 1236 2
"927" 123801 1 1238 5
"928" 123802 2 1238 5
"929" 123803 3 1238 5
"930" 123804 4 1238 5
"931" 123805 5 1238 5
"932" 124101 1 1241 2
"933" 124104 4 1241 2
"934" 124201 1 1242 1
"935" 124401 1 1244 3
"936" 124402 2 1244 3
"937" 124403 3 1244 3
"938" 124601 1 1246 2
"939" 124602 2 1246 2
"940" 125001 1 1250 3
"941" 125002 2 1250 3
"942" 125003 3 1250 3
"943" 125101 1 1251 1
"944" 125301 1 1253 1
"945" 125401 1 1254 2
"946" 125402 2 1254 2
"947" 125501 1 1255 1
"948" 125801 1 1258 4
"949" 125802 2 1258 4
"950" 125803 3 1258 4
"951" 125804 4 1258 4
"952" 125901 1 1259 1
"953" 126101 1 1261 1
"954" 126301 1 1263 1
"955" 126901 1 1269 2
"956" 126902 2 1269 2
"957" 127701 1 1277 1
"958" 127901 1 1279 3
"959" 127902 2 1279 3
"960" 127903 3 1279 3
"961" 128601 1 1286 2
"962" 128602 2 1286 2
"963" 129001 1 1290 2
"964" 129002 2 1290 2
"965" 129302 2 1293 2
"966" 129303 3 1293 2
"967" 129501 1 1295 4
"968" 129502 2 1295 4
"969" 129503 3 1295 4
"970" 129504 4 1295 4
"971" 129601 1 1296 2
"972" 129602 2 1296 2
"973" 129701 1 1297 3
"974" 129702 2 1297 3
"975" 129703 3 1297 3
"976" 130401 1 1304 2
"977" 130402 2 1304 2
"978" 130501 1 1305 1
"979" 130601 1 1306 4
"980" 130602 2 1306 4
"981" 130603 3 1306 4
"982" 130604 4 1306 4
"983" 130801 1 1308 1
"984" 131001 1 1310 3
"985" 131002 2 1310 3
"986" 131003 3 1310 3
"987" 131201 1 1312 1
"988" 131301 1 1313 2
"989" 131302 2 1313 2
"990" 132201 1 1322 1
"991" 132301 1 1323 2
"992" 132302 2 1323 2
"993" 132401 1 1324 5
