"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"264" 29001 1 0.514 0.543 290 17 0 2
"265" 29002 2 -0.77 0.543 290 15 0 2
"266" 29201 1 1.752 0.543 292 20 0 2
"267" 29202 2 2.442 0.543 292 NA 0 2
"268" 29301 1 0.684 0.543 293 17 0 2
"269" 29302 2 1.645 0.543 293 16 0 2
"270" 29401 NA NA NA 294 16 0 3
"271" 29402 NA NA NA 294 NA 0 3
"272" 29403 NA NA NA 294 NA 0 3
"273" 29701 1 0.242 0.543 297 16 0 2
"274" 29702 2 1.545 0.543 297 15 0 2
"275" 29801 1 2.003 0.543 298 18 0 2
"276" 29802 NA NA NA 298 NA 0 2
"277" 30501 NA NA NA 305 NA 0 2
"278" 30502 NA NA NA 305 NA 0 2
"279" 31201 1 -1.023 0.543 312 16 0 2
"280" 31202 2 0.301 0.543 312 16 1 2
"281" 31401 1 0.367 0.543 314 18 0 5
"282" 31402 2 0.646 0.543 314 NA 0 5
"283" 31403 3 0.627 0.543 314 NA 0 5
"284" 31404 4 0.797 0.543 314 20 0 5
"285" 31405 5 0.851 0.543 314 18 0 5
"286" 32101 1 1.456 0.543 321 NA 0 3
"287" 32102 2 0.174 0.543 321 NA 0 3
"288" 32103 3 1.283 0.543 321 NA 0 3
"289" 32201 1 0.985 0.543 322 18 0 3
"290" 32202 2 1.267 0.543 322 21 1 3
"291" 32203 3 1.72 0.573 322 18 1 3
"292" 33301 1 -0.271 0.573 333 18 0 2
"293" 33302 2 -0.779 0.543 333 14 0 2
"294" 33501 1 2.164 0.543 335 15 0 1
"295" 33801 1 -2.736 0.543 338 15 0 2
"296" 33802 2 1.281 0.543 338 NA 0 2
"297" 33901 1 -3.699 0.543 339 NA 0 1
"298" 34001 1 -3.145 0.543 340 25 0 3
"299" 34002 2 0.99 0.543 340 16 0 3
"300" 34003 3 -0.277 0.543 340 17 0 3
"301" 34301 1 0.065 0.543 343 15 0 1
"302" 34401 1 3.78 0.543 344 17 0 2
"303" 34402 2 4.183 0.543 344 NA 0 2
"304" 34501 NA NA NA 345 NA 0 1
"305" 34701 1 1.812 0.543 347 NA 0 2
"306" 34702 2 0.992 0.543 347 NA 0 2
"307" 35401 1 2.775 0.543 354 17 0 2
"308" 35402 2 2.209 0.543 354 NA 1 2
"309" 36501 NA NA NA 365 NA 0 5
"310" 36502 NA NA NA 365 NA 0 5
"311" 36503 NA NA NA 365 NA 0 5
"312" 36504 NA NA NA 365 NA 0 5
"313" 36505 NA NA NA 365 NA 0 5
"314" 36901 1 2.79 0.543 369 15 1 2
"315" 36902 2 1.139 0.543 369 17 0 2
"316" 37101 1 -1.029 0.573 371 NA 0 3
"317" 37102 NA NA NA 371 NA 0 3
"318" 37103 NA NA NA 371 NA 0 3
